Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0066],ari.saarikoski@pp.inet.fi,ari.saarikoski@pp.inet.fi,Unknown,,,,,
[P0067],Pekka ja Kaarina Ketonen,Pekka ja Kaarina Ketonen,Unknown,,,,,
[P0068],Jurvan Tainuskylään,Jurvan Tainuskylään,Unknown,,,,,
[P0069],Koiran kasvatus ja koulutus. Patikointi,Koiran kasvatus ja koulutus. Patikointi,Unknown,,,,,
[P0070],Seija ja Eero Tohka,Seija ja Eero Tohka,Unknown,,,,,
[P0071],Muutti Vaasaan,Muutti Vaasaan,Unknown,,,,,
[P0072],"Sulkapallo, Kitaran soitto","Sulkapallo, Kitaran soitto",Unknown,,,,,
[P0073],Kävi rippikoulun Teuvalla ei konfirmoitu,Kävi rippikoulun Teuvalla ei konfirmoitu,Unknown,,,,,
[P0074],Anne ja Risto Yli-Kiikka,Anne ja Risto Yli-Kiikka,Unknown,,,,,
[P0075],Jurva,Jurva,Unknown,,,,,
[P0076],Kurikkaan,Kurikkaan,Unknown,,,,,
[P0077],06 4503009,06 4503009,Unknown,,,,,
[P0078],martti.keski-valkama@netikka.fi,martti.keski-valkama@netikka.fi,Unknown,,,,,
[P0079],Sukututkimus,Sukututkimus,Unknown,,,,,
[P0080],Amerikassa,Amerikassa,Unknown,,,,,
[P0081],28.11.1905 Lähti amerikkaan. Katosi Siellä,28.11.1905 Lähti amerikkaan. Katosi Siellä,Unknown,,,,,
[P0082],Valittiin arvalla Venäjän armeijaan. Arpa No. 14.,Valittiin arvalla Venäjän armeijaan. Arpa No. 14.,Unknown,,,,,
[P0083],Tampereella,Tampereella,Unknown,,,,,
[P0084],Teuvan vanhalla hautausmaalla  Vapaus-soturien sankarihaudassa,Teuvan vanhalla hautausmaalla  Vapaus-soturien sankarihaudassa,Unknown,,,,,
[P0085],Oli mukana vapaussodassa.  Kaatui Tampereella valkoisten puolella.Teuvan Sankarihaudassa,Oli mukana vapaussodassa.  Kaatui Tampereella valkoisten puolella.Teuvan Sankarihaudassa,Unknown,,,,,
[P0086],Kirkko,Kirkko,Unknown,,,,,
[P0087],"talollinen Henri Matts poika Kiililä, vaimo Maria Andersdotter Kiililä, Matts Josephsson Ojanperä, Hedvig Josephsdotter Kiililän torppa","talollinen Henri Matts poika Kiililä, vaimo Maria Andersdotter Kiililä, Matts Josephsson Ojanperä, Hedvig Josephsdotter Kiililän torppa",Unknown,,,,,
[P0088],Pappilassa,Pappilassa,Unknown,,,,,
[P0089],Jaakob Perälävaimo Anna Maria JohanssintytärPerälä renki Fredrig Josepsson Piika Lena Johanstytär,Jaakob Perälävaimo Anna Maria JohanssintytärPerälä renki Fredrig Josepsson Piika Lena Johanstytär,Unknown,,,,,
[P0090],mm. Renkinä Syväluomalla,mm. Renkinä Syväluomalla,Unknown,,,,,
[P0091],Asunut Perälässä mm. Ojanperän numerossa,Asunut Perälässä mm. Ojanperän numerossa,Unknown,,,,,
[P0092],Teuvan vanha hautausmaa,Teuvan vanha hautausmaa,Unknown,,,,,
[P0093],Korpilahdella,Korpilahdella,Unknown,,,,,
[P0094],Jyväskylän MLK.,Jyväskylän MLK.,Unknown,,,,,
[P0095],Kurikassa,Kurikassa,Unknown,,,,,
[P0096],Amerikkaan 3.9.1901,Amerikkaan 3.9.1901,Unknown,,,,,
[P0097],Amerikkaan 1923,Amerikkaan 1923,Unknown,,,,,
[P0098],Vaimo sai lapsia aina kun mies kävi kotona. Mies tartutti vaimoonsa tuperkelin. Ei ole varmaa kuoliko vaimo siihen tautii. Mies kuoli amerikassa.,Vaimo sai lapsia aina kun mies kävi kotona. Mies tartutti vaimoonsa tuperkelin. Ei ole varmaa kuoliko vaimo siihen tautii. Mies kuoli amerikassa.,Unknown,,,,,
[P0099],Muutti Joroisiin 29.10.1917,Muutti Joroisiin 29.10.1917,Unknown,,,,,
[P0100],Joroinen,Joroinen,Unknown,,,,,
[P0101],Helsinki,Helsinki,Unknown,,,,,
[P0102],13.10.1931 Enonkoskelle.,13.10.1931 Enonkoskelle.,Unknown,,,,,
[P0103],Peräseinäjoki,Peräseinäjoki,Unknown,,,,,
[P0104],Muutti Espoon Tapiolan seurakuntaan 20.7.1971,Muutti Espoon Tapiolan seurakuntaan 20.7.1971,Unknown,,,,,
[P0105],Musiikki,Musiikki,Unknown,,,,,
[P0106],Lapualla,Lapualla,Unknown,,,,,
[P0107],Muuttanut avioliitossa olevana Keravalla 25.8.1976,Muuttanut avioliitossa olevana Keravalla 25.8.1976,Unknown,,,,,
[P0108],Kerava,Kerava,Unknown,,,,,
[P0109],Tampereelle 11.7.1993,Tampereelle 11.7.1993,Unknown,,,,,
[P0110],Lempäälä,Lempäälä,Unknown,,,,,
[P0111],Karvia,Karvia,Unknown,,,,,
[P0112],Vaasaan,Vaasaan,Unknown,,,,,
[P0113],Ruotsiin,Ruotsiin,Unknown,,,,,
[P0114],Rovaniemelle,Rovaniemelle,Unknown,,,,,
[P0115],Tervolaan,Tervolaan,Unknown,,,,,
[P0116],Koivulahteen,Koivulahteen,Unknown,,,,,
[P0117],Jakkulaan,Jakkulaan,Unknown,,,,,
[P0118],Turkuun,Turkuun,Unknown,,,,,
[P0120],Canada,Canada,Country,,,,,
[P0121],"Ontario, Canada",Ontario,State,,,,[P0120],
[P0129],Finland,Finland,Country,,,,,
[P0130],USA,USA,Country,,,,,
[P0131],"Maine, USA",Maine,State,,,,[P0130],
[P0132],"Kristiinankaupunki, Finland",Kristiinankaupunki,City,,,,[P0129],
[P0133],"Lapväärtti, Kristiinankaupunki, Finland",Lapväärtti,Parish,,,,[P0132],
[P0135],"Karjala, Finland",Karjala,County,,,,[P0129],
[P0000],Kurikka,Kurikka,City,,,,[P0129],
[P0001],Teuva,Teuva,City,,,,[P0129],
[P0002],Kauhajoki,Kauhajoki,City,,,,[P0129],
[P0004],Metsäpirtti,Metsäpirtti,City,,,,[P0135],
[P0005],Borås,Borås,City,,,,[P0129],
[P0007],Pälkäne,Pälkäne,City,,,,[P0129],
[P0008],Lappi,Lappi,City,,,,[P0129],
[P0009],Ylihärmä,Ylihärmä,City,,,,[P0129],
[P0010],Ilmajoki,Ilmajoki,City,,,,[P0129],
[P0011],Kauhajoen Luomankylä,Luomankylä,Locality,,,,[P0002],
[P0012],Jalasjärvi,Jalasjärvi,City,,,,[P0129],
[P0013],Ikaalinen,Ikaalinen,City,,,,[P0129],
[P0014],Lapväärttin Påskmark,Påskmark,Locality,,,,[P0133],
[P0015],"Teuva, Panttila",Panttila,Locality,,,,[P0001],
[P0018],"Teuva, Hirvelän torppa",Hirvelän torppa,Locality,,,,[P0001],
[P0019],Vääksy,Vääksy,City,,,,[P0129],
[P0020],Kaskinen,Kaskinen,City,,,,[P0129],
[P0021],Varkaus,Varkaus,City,,,,[P0129],
[P0022],Vaasa,Vaasa,City,,,,[P0129],
[P0023],Jämsä,Jämsä,City,,,,[P0129],
[P0024],Jyväskylä,Jyväskylä,City,,,,[P0129],
[P0025],Vantaa,Vantaa,City,,,,[P0129],
[P0026],Pappinen,Pappinen,City,,,,[P0129],
[P0027],Toivakka,Toivakka,City,,,,[P0129],
[P0028],Jämsänkoski,Jämsänkoski,City,,,,[P0129],
[P0029],Orismala,Orismala,City,,,,[P0129],
[P0030],Isokyrö,Isokyrö,City,,,,[P0129],
[P0031],Koivulahti,Koivulahti,City,,,,[P0129],
[P0032],Jakkula,Jakkula,City,,,,[P0129],
[P0033],Rovaniemi,Rovaniemi,City,,,,[P0129],
[P0034],Tervola,Tervola,City,,,,[P0129],
[P0035],Turku,Turku,City,,,,[P0129],
[P0036],Koski,Koski,City,,,,[P0129],
[P0037],Kristiina,Kristiina,City,,,,[P0129],
[P0038],Karijoki,Karijoki,City,,,,[P0129],
[P0040],Isojoki,Isojoki,City,,,,[P0129],
[P0119],"Sointula, USA",Sointula,Locality,,,,[P0130],
[P0122],"Portland, Maine",Portland,City,,,,[P0131],
[P0123],"Teuva, Kiililä",Kiililä,Locality,,,,[P0001],
[P0124],"Teuva, Hakala",Hakala,Locality,,,,[P0001],
[P0125],"Teuva, Kiililän torppa",Kiililän torppa,Locality,,,,[P0001],
[P0126],"Teuva, Ristiluoma",Ristiluoma,Locality,,,,[P0001],
[P0127],"Teuva, Kiili",Kiili,Locality,,,,[P0001],
[P0128],"Teuva, Ojala",Ojala,Locality,,,,[P0001],
[P0134],"Riipinkylä, Teuva, Finland",Riipinkylä,Parish,,,,[P0001],
[P0017],Teuvan Riipinkylän Panttilan talo,Panttilan talo,Locality,,,,[P0134],

Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0553],,,,,,,female,,,,,,,,,,,,,
[I0554],,,,,,,male,,,,,,,,,,,,,
[I0286],Aarnio,Aira,,,,,female,,[P0101],,,,,,,,,,,
[I0092],Ahtila,Anna Heikintytär,,,,,female,1725-12-03,[P0007],,,,,1793-01-13,,,,,,
[I0170],Ala-Lohikoski,Rebekka Juhontytär,,,,,female,,,,,,,,,,,,,
[I0584],Backström,Jenny,,,,,female,,,,,,,,,,,,,
[I0566],Backström,Stig,,,,,male,,[P0020],,,,,,,,,,,
[I0484],Blummendal,,,,,,male,,,,,,,,,,,,,
[I0304],Braberg,Jooseppi Samuelinpoika,,,,,male,1844-10-04,,,,,,1895-08-17,,,,,,
[I0333],Bradt,Anna Liisa Hermannintytär,,,,,female,,,,,,,,,,,,,
[I0587],Brandt,,,,,,male,,,,,,,,,,,,,
[I0556],Brandt,Elias,,,,,male,1864-02-15,,,,,,,,,,,,
[I0550],Brandt,Herman Fredricsson,,,,,male,1825-09-21,[P0016],,,,,,,,,,,
[I0552],Brandt,Josefina,,,,,female,1855-10-06,[P0075],,,,,,,,,,,
[I0392],Brusk,Olof,,,,,male,1749,,,,,,,,,,,,
[I0117],Canstrén,Eino Johannes,,,,,male,1908-03-30,[P0001],,,,,,,,,,,
[I0114],Canstrén,Elle Maria,,,,,female,1902-03-16,[P0001],,,,,,,,,,,
[I0109],Canstrén,Emmanuel Juhonpoika,,,,,male,1861-05-28,[P0000],,,,,,,,,,,
[I0110],Canstrén,Greta Josefina,,,,,female,1864-10-04,[P0000],,,,,1865-02-04,,,,,,
[I0116],Canstrén,Helle Sofia,,,,,female,1906-07-13,[P0001],,,,,,,,,,,
[I0104],Canstrén,Iisakki Juhonpoika,,,,,male,1848-05-30,[P0000],,,,,,,,,,,
[I0107],Canstrén,Jaakko,,,,,male,1854-08-01,[P0000],,,,,1863-04-25,[P0000],,,,,
[I0102],Canstrén,Johan,,,,,male,1815-08-10,[P0009],,,,,1893-11-21,[P0000],,,,,
[I0112],Canstrén,Juho,,,,,male,1875-03-31,[P0000],,,,,1917-07-28,[P0001],,,,,
[I0105],Canstrén,Kustaa Adolf,,,,,male,1849-11-06,[P0000],,,,,,,,,,,
[I0115],Canstrén,Saimi Helena,,,,,female,1903-09-21,[P0001],,,,,1967-02-19,,,,,,
[I0108],Canstrén,Susanna,,,,,female,1858-08-01,[P0000],,,,,1861-12-05,[P0000],,,,,
[I0713],Carlander,Kaisa Simontytär,,,,,female,1692,,,,,,1778-09-25,[P0001],,,,,
[I0101],Dahlsten,Susanna,,,,,female,1789-11-18,[P0008],,,,,1873-06-30,[P0000],,,,,
[I0132],Dohli,Ulrika Sophia Olofsdotter,,,,,female,1776-04-25,[P0016],,,,,1846-08-16,[P0015],,,,,
[I0218],Enlund,Anna Marja Urhontytär,,,,,female,1927-09-12,[P0001],,,,,,,,,,,
[I0224],Enlund,Erik Gunnar,,,,,male,1925-04-12,[P0020],,,,,1993-11-01,,,,,,
[I0305],Erkkilä,Samuel Simonpoika,,,,,male,,,,,,,,,,,,,
[I0664],Gumsi,Anna Kaisa,,Heikin tr.,,,female,1839-09-18,,,,,,1904-09-17,[P0001],,,,,
[I0681],Gumsi,Henric,,Jacopss.,,,male,,,,,,,,,,,,,
[I0682],Gumsi,Maja,,Simons dr.,,,female,1812,,,,,,,,,,,,
[I0043],Haapamäki,Hannu Tapani,,,,,male,1954-12-22,,,,,,,,,,,,
[I0039],Haapamäki,Jorma Kalevi,,,,,male,1943-02-28,,,,,,,,,,,,
[I0040],Haapamäki,Jouko Tapio,,,,,male,1945-09-09,,,,,,,,,,,,
[I0041],Haapamäki,Jussi Veli,,,,,male,1947-05-15,,,,,,,,,,,,
[I0042],Haapamäki,Matti Vesa,,,,,male,1950-02-17,,,,,,,,,,,,
[I0038],Haapamäki,Toivo,,,,,male,,,,,,,,,,,,,
[I0418],Haka,Aila Lemmitty,,,,,female,1931-05-23,[P0047],,,,,1986-03-05,[P0047],,,,,
[I0357],Haka,Hugo Johannes Joosepinpoika,,,,,male,1901-10-05,,,,,,1994-02-17,,,,,,
[I0194],Haka,Jooseppi Oskari Juhonpoika,,,,,male,1866-08-15,,,,,,,,,,,,
[I0726],Haka,Seija,,,,,female,,[P0047],,,,,,,,,,,
[I0725],Haka,Vilho,,Teofilus,,,male,,,,,,,,[P0047],,,,,
[I0331],Hakala,Antti Antinpoika,,,,,male,1880-07-05,,,,,,1963-01-26,,,,,,
[I0529],Harjamäki,Johannes,,Juhonp.,,,male,1836-07-01,,,,,,1880-09-30,,,,,,
[I0150],Harjamäki,Juho,,Gustavss.,,,male,1803-12-10,[P0095],,,,,1875-09-29,[P0095],,,,,
[I0564],Hautakangas,Kaarina,,,,,female,,[P0106],,,,,,,,,,,
[I0632],Hautala,Hedda Sofia Henriksdotter,,,,,female,1825-08-30,,,,,,,,,,,,
[I0608],Hautala,Hermanni Iisakinpoika,,,,,male,1858-03-20,,,,,,,,,,,,
[I0631],Hautala,Isak Jakobson,,,,,male,1825-03-06,,,,,,,,,,,,
[I0633],Hautala,Jakob Andersson,,,,,male,,,,,,,,,,,,,
[I0634],Hautala,Kaisa Juhontytär,,,,,female,,,,,,,,,,,,,
[I0005],Hautaluoma,Maija Liisa Jaakontytär,,,,,female,1874-12-30,[P0000],,,,,1933-08-16,,,,,,
[I0667],Hietikko,Vihtori,,,,,male,,,,,,,,,,,,,
[I0134],Hirvelä,Hedvig Mikontytär,,,,,female,1819-07-13,[P0018],,,,,,,,,,,
[I0046],Holkko,Linda Josefiina,,,,,female,1927-06-15,[P0000],,,,,,,,,,,
[I0153],Huhtanen,Emanuel,,,,,male,1861-12-25,[P0000],,,,,,,,,,,
[I0491],Hyyppä,Esa,,,,,male,,,,,,,,,,,,,
[I0127],Hyöväti,Helena Salomonintytär,,,,,female,1800-11-24,[P0010],,,,,1859-01-02,[P0000],,,,,
[I0393],Hägerström,Anna,,,,,female,1753-10-10,,,,,,,,,,,,
[I0334],Hämäläinen,Albin Juhonpoika,,,,,male,,[P0100],,,,,,,,,,,
[I0226],Hännikäinen,Aili Annikki,,,,,female,1934-04-29,[P0004],,,,,,,,,,,
[I0018],Ilmarinen,Ulrika Hermannintytär,,,,,female,1854-05-26,[P0001],,,,,1895-02-23,,,,,,
[I0369],Jokipii,Kreeta Liisa Mikontytär,,,,,female,,,,,,,,,,,,,
[I0652],Järvistö,Airi,,,,,female,,,,,,,,,,,,,
[I0649],Järvistö,Alfred,,,,,male,,,,,,,,,,,,,
[I0653],Järvistö,Alli,,,,,female,,,,,,,,,,,,,
[I0650],Järvistö,Anni,,,,,female,,,,,,,,,,,,,
[I0324],Kahila,Ansela Matinpoika,,,,,male,,,,,,,,,,,,,
[I0337],Kallio,Impi Mariaana,,,,,female,1897-11-14,[P0075],,,,,1979-01-05,[P0001],,,,,
[I0122],Kalliomäki,Juho Juhonpoika,,,,,male,1851-09-08,[P0000],,,,,,,,,,,
[I0380],Kangas,Greta Susanna,,,,,female,,,,,,,,,,,,,
[I0384],Kangas,Israel,,,,,male,,,,,,,,,,,,,
[I0575],Kangas,Kaarina,,,,,female,,[P0002],,,,,,,,,,,
[I0120],Katalkin,Virpi Johanna,,,,,female,1966-06-05,[P0094],,,,,,,,,,,
[I0504],Kautio,Jarno,,,,,male,,,,,,,,,,,,,
[I0505],Kautio,Kasper Pekka Juhani,,,,,male,2001-09-20,[P0028],,,,,,,,,,,
[I0591],Kentta,Heikki Olavi,,,,,male,,,,,,,,,,,,,
[I0354],Kentta,Josefiina Matintytär,,,,,female,,,,,,,,,,,,,
[I0590],Kentta,Olavi,,,,,male,1925-09-10,[P0047],,,,,,,,,,,
[I0593],Kentta,Ulla,,,,,female,,,,,,,,,,,,,
[I0162],Keski-Valkama,Hellin Maria,,,,,female,1924-08-19,[P0001],,,,,,,,,,,
[I0635],Keski-Valkama,Hermanni Iivari,,,,,male,1896-03-13,[P0002],,,,,1970-06-11,[P0002],,,,,
[I0125],Keski-Valkama,Hilma Albertiina,,,,,female,1903-04-24,[P0002],,,,,1993-02-09,[P0011],,,,,
[I0161],Keski-Valkama,Iisakki,,,,,male,1900-12-29,[P0002],,,,,1963-01-26,,,,,,
[I0053],Keski-Valkama,Jari Erkki,,,,,male,1962-12-07,,,,,,,,,,,,
[I0048],Keski-Valkama,Marja-Liisa,,,,,female,1948-03-24,,,,,,,,,,,,
[I0002],Keski-Valkama,Martti Johannes,,,,,male,1957-05-10,,,,,,,,,,,,
[I0001],Keski-Valkama,Mika Teemu Kristian,,,,,male,1984-11-28,,,,,,,,,,,,
[I0049],Keski-Valkama,Pauli Samuel,,,,,male,1949-03-27,,,,,,,,,,,,
[I0050],Keski-Valkama,Pekka Matti,,,,,male,1950-12-07,,,,,,,,,,,,
[I0052],Keski-Valkama,Pertti Iisakki,,,,,male,1954-01-01,,,,,,,,,,,,
[I0051],Keski-Valkama,Pirkko Helena,,,,,female,1952-04-28,,,,,,,,,,,,
[I0165],Keski-Valkama,Saara Mirjam,,,,,female,1932-05-13,[P0000],,,,,,,,,,,
[I0164],Keski-Valkama,Signe Annikki,,,,,female,1928-08-03,[P0000],,,,,,,,,,,
[I0000],Keski-Valkama,Tero Juhani,,,,,male,1982-05-15,,,,,,,,,,,,
[I0163],Keski-Valkama,Toivo Emanuel Herman,,,,,male,1926-09-03,[P0001],,,,,,,,,,,
[I0646],Ketola,Heikki,,,,,male,,,,,,,,,,,,,
[I0648],Ketola,Liili,,Heikint.,,,female,,,,,,,,,,,,,
[I0209],Ketola,Riika Helena Heikintytär,,,,,female,1875-07-28,[P0001],,,,,1932-04-27,[P0001],,,,,
[I0063],Ketola,Selma Sanna,,,,,female,1941-02-18,[P0002],,,,,,,,,,,
[I0610],Ketonen,Aino,,,,,female,1948,[P0047],,,,,,,,,,,
[I0569],Ketonen,Aino Anna,,,,,female,1911-09-17,[P0047],,,,,1933-09-12,[P0047],,,,,
[I0313],Ketonen,Amanda Selina,,,,,female,1886-11-21,,,,,,1888-01-21,,,,,,
[I0583],Ketonen,Annakaisa,,,,,female,,,,,,,,,,,,,
[I0187],Ketonen,Eeva Serafia,,,,,female,1921-05-19,[P0047],,,,,,,,,,,
[I0586],Ketonen,Eeva-Leena,,,,,female,1980-05-25,[P0108],,,,,,,,,,,
[I0619],Ketonen,Eila,,,,,female,1951,[P0047],,,,,,,,,,,
[I0585],Ketonen,Elina,,,,,female,1978-02-20,[P0108],,,,,,,,,,,
[I0310],Ketonen,Esteri Sofia,,,,,female,1880-11-17,,,,,,,,,,,,
[I0311],Ketonen,Gideon Aleksi,,,,,male,1883-02-15,,,,,,1950-05-08,,,,,,
[I0618],Ketonen,Hanna,,,,,female,,,,,,,,,,,,,
[I0596],Ketonen,Heikki,,,,,male,1932-05-29,[P0047],,,,,1932-06-20,[P0047],,,,,
[I0317],Ketonen,Helmi Maria,,,,,female,1894-09-11,,,,,,,,,,,,
[I0312],Ketonen,Hilma Serafia,,,,,female,1885-03-06,[P0047],,,,,1925-03-28,,,,,,
[I0314],Ketonen,Hulda Kristina,,,,,female,1888-10-18,,,,,,1957-07-31,,,,,,
[I0318],Ketonen,Iisakki Ireeneus,,,,,male,1896-12-19,,,,,,1901-05-28,,,,,,
[I0315],Ketonen,Jenny Elisabeth,,,,,female,1890-12-21,,,,,,1957-09-15,,,,[P0092],,
[I0617],Ketonen,Juha,,,,,male,,,,,,,,,,,,,
[I0309],Ketonen,Juho Vihtori,,,,,male,1878-12-12,,,,,,1938-07-01,,,,,,
[I0578],Ketonen,Kaija Kaisa,,,,,female,1956-10-06,[P0047],,,,,,,,,,,
[I0565],Ketonen,Kaisa Aulikki,,,,,female,1948-05-25,[P0103],,,,,,,,,,,
[I0316],Ketonen,Kosti Villiam,,,,,male,1893-01-14,,,,,,1893-08-31,,,,,,
[I0612],Ketonen,Lauri,,,,,male,1950,[P0047],,,,,,,,,,,
[I0580],Ketonen,Lauri Juhani,,,,,male,1916-04-06,[P0047],,,,,1944-06-18,,,,,,
[I0576],Ketonen,Leena Terttu,,,,,female,1949-04-18,[P0047],,,,,,,,,,,
[I0628],Ketonen,Liisa,,,,,female,1961,[P0047],,,,,,,,,,,
[I0588],Ketonen,Liisa Helena,,,,,female,1923-01-06,[P0047],,,,,,,,,,,
[I0572],Ketonen,Maija Liisa,,,,,female,1941-03-27,[P0047],,,,,,,,,,,
[I0308],Ketonen,Matti Nestori,Nestori,,,,male,1855-09-21,,,,,,1909-02-09,,,,[P0092],,
[I0574],Ketonen,Matti Olavi,,,,,male,1945-08-12,[P0047],,,,,,,,,,,
[I0611],Ketonen,Mauno,,,,,male,1949,[P0047],,,,,,,,,,,
[I0589],Ketonen,Mirja Elisabet,,,,,female,1925-01-13,[P0047],,,,,,,,,,,
[I0559],Ketonen,Nelly Vellamo,,,,,female,1908-06-14,[P0047],,,,,1995-10-03,[P0047],,1995-10-03,[P0047],,
[I0570],Ketonen,Niilo Olavi,,,,,male,1913-09-08,[P0047],,,,,1986-12-15,[P0047],,,,,
[I0563],Ketonen,Pekka Vesa Tapani,,,,,male,1946-11-01,[P0103],,,,,,,,,,,
[I0582],Ketonen,Petri Vesa Matias,,,,,male,,,,,,,,,,,,,
[I0614],Ketonen,Riikka,,,,,female,,,,,,,,,,,,,
[I0627],Ketonen,Risto,,,,,male,1952,[P0047],,,,,1980,[P0047],,,,,
[I0223],Ketonen,Risto Mauri,,,,,male,1923-03-28,[P0001],,,,,1986-09-30,,,,,,
[I0560],Ketonen,Saara Kaisa,,,,,female,1920-01-03,[P0047],,,,,,,,,,,
[I0581],Ketonen,Sanni Saara,,,,,female,1918-04-06,[P0047],,,,,1919-01-03,[P0047],,,,,
[I0567],Ketonen,Simo Pirkka Juhani,,,,,male,1951-11-20,[P0047],,,,,,,,,,,
[I0217],Ketonen,Sirkka Sisko Urhontytär,,,,,female,1926-05-05,[P0001],,,,,,,,,,,
[I0561],Ketonen,Toivo Vesa,,,,,male,1909-09-08,[P0047],,,,,1995,[P0047],,,,,
[I0429],Ketonen,Ulla,,Hellevi,,,female,1949-07-25,[P0001],,,,,,,,,,,
[I0744],Kiililä,Amalia,,,,,female,1851-12-06,[P0123],,,,,,,,,,,
[I0738],Kiililä,Esa,,,,,male,1842-12-24,[P0123],,,,,,,,,,,
[I0712],Kiililä,Jooseppi Heikinpoika,,,,,male,1684,,,,,,1752-10-22,[P0001],,,,,
[I0731],Kiililä,Jooseppi Matinpoika,,,,,male,1758-02-22,[P0123],,,,,1844-03-07,[P0123],,,,,
[I0452],Kiililä,Joseph,,Josephsson,,,male,1782-07-11,,,,,,,,,,,,
[I0737],Kiililä,Juha,,,,,male,1841-05-20,[P0123],,,,,1886-03-30,[P0047],,,,,
[I0733],Kiililä,Juha Joosepinpoika,,,,,male,1784-08-01,[P0125],,,,,1864-06-06,[P0123],,,,,
[I0735],Kiililä,Juha Juhanpoika,,,,,male,1819-06-18,[P0123],,,,,1900-10-06,,,,,,
[I0747],Kiililä,Leena,,,,,female,1858-04-28,[P0123],,,,,1948-02-15,,,,,,
[I0732],Kiililä,Leena Antintytär,,,,,female,1757-03-25,[P0124],,,,,1842-10-15,[P0123],,,,,
[I0740],Kiililä,Maija-Liisa,,,,,female,1844-12-14,[P0123],,,,,1902-06-01,,,,,,
[I0453],Kiililä,Maria,,Ersdotter,,,female,,,,,,,,,,,,,
[I0734],Kiililä,Maria Erkintytär,,,,,female,1782-12-09,[P0126],,,,,1860-11-30,[P0127],,,,,
[I0739],Kiililä,Markus Juhanpoika,,,,,male,1844-01-15,[P0123],,,,,1912-06-14,[P0001],,,,,
[I0714],Kiililä,Matti Joosepinpoika,,,,,male,1714,,,,,,1784-03-30,[P0123],,,,,
